age,workclass,education,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,income
28,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,0
57,Private,School,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,0
22,State-gov,Some-college,Married-spouse-absent,Tech-support,Unmarried,White,Male,0,0,20,0
66,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,0
27,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,0
37,Private,Some-college,Never-married,Tech-support,Other-relative,White,Female,0,0,40,0
42,Private,Assoc-acdm,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,0
48,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,40,1
35,Private,HS-grad,Divorced,Exec-managerial,Unmarried,White,Female,0,0,55,0
54,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,1
49,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,1
36,Private,Assoc-acdm,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2829,0,40,0
44,Private,HS-grad,Divorced,Machine-op-inspct,Own-child,White,Male,0,0,40,0
90,Private,Some-college,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Male,0,0,35,0
59,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,1
29,Private,HS-grad,Never-married,Machine-op-inspct,Other-relative,Other,Male,0,0,40,0
23,Private,Assoc-voc,Never-married,Other-service,Own-child,White,Male,0,0,20,0
38,Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,1
44,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,1
45,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,0
38,Private,School,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,1
39,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,0
24,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,0
34,Private,HS-grad,Never-married,Handlers-cleaners,Unmarried,White,Female,7443,0,35,0
18,Private,School,Never-married,Farming-fishing,Own-child,White,Male,0,0,36,0
19,Private,School,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,0
34,Private,Assoc-voc,Divorced,Tech-support,Unmarried,White,Female,0,0,40,0
37,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,1
27,Private,Bachelors,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,50,0
36,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,0
24,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,0
43,Self-emp-not-inc,School,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,0
47,Private,School,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,40,1
41,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,1
35,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,80,1
32,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,0,0,80,0
32,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,1
25,Private,HS-grad,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,0
29,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Female,3325,0,10,0
19,Private,School,Never-married,Farming-fishing,Own-child,White,Male,0,0,24,0
42,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,1
36,Private,Some-college,Never-married,Sales,Not-in-family,White,Female,0,0,35,0
46,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,3674,0,30,0
48,Self-emp-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,1
46,Private,School,Never-married,Other-service,Own-child,White,Male,0,0,52,0
25,Local-gov,HS-grad,Divorced,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,0,0,35,0
36,Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,0
33,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,0
26,Private,HS-grad,Never-married,Craft-repair,Other-relative,White,Male,2597,0,40,0
25,Private,HS-grad,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,40,0
26,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,0,0,48,0
44,Private,Assoc-voc,Never-married,Priv-house-serv,Not-in-family,White,Male,594,0,25,0
35,Private,School,Separated,Priv-house-serv,Unmarried,White,Female,0,0,8,0
30,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1848,50,1
28,Private,School,Never-married,Machine-op-inspct,Unmarried,White,Female,0,0,40,0
64,Private,School,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,0
49,State-gov,Assoc-voc,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,44,0
24,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,0
34,Self-emp-inc,Bachelors,Divorced,Farming-fishing,Not-in-family,White,Male,0,0,60,0
47,Self-emp-not-inc,Bachelors,Never-married,Sales,Not-in-family,White,Male,0,0,35,0
21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,0,0,40,0
23,Private,School,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,0
54,Private,Bachelors,Widowed,Sales,Unmarried,White,Female,0,0,40,0
29,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,35,1
48,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,0
20,Private,Some-college,Never-married,Other-service,Own-child,White,Female,0,0,10,0
44,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,20,0
30,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,62,0
38,State-gov,Some-college,Separated,Exec-managerial,Not-in-family,White,Female,0,0,45,0
21,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,0,0,24,0
59,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,43,1
56,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,0
50,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,0
55,Self-emp-not-inc,School,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,0
26,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,0
37,Private,HS-grad,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,0,0,60,0
51,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,0
40,State-gov,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,45,0
32,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Black,Female,0,1602,20,0
34,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,1
17,Private,School,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,0
48,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,48,0
24,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,0,0,35,0
31,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,0
36,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,0
59,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,1
23,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,0,0,40,0
25,Private,Some-college,Never-married,Sales,Not-in-family,White,Female,0,0,40,0
44,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,35,1
62,Private,School,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,20,0
59,Private,Some-college,Divorced,Other-service,Unmarried,White,Female,0,0,32,0
46,Private,Bachelors,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,40,0
54,Private,School,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,0
45,Private,Some-college,Never-married,Farming-fishing,Other-relative,White,Male,0,0,50,0
49,Private,Assoc-voc,Divorced,Tech-support,Unmarried,White,Female,0,0,40,0
37,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,0
30,Federal-gov,Bachelors,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,45,0
23,Private,Some-college,Never-married,Other-service,Own-child,White,Male,0,0,40,0
60,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,0
22,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,9,0
28,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,1
64,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,0
25,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,0,0,30,0
20,Private,School,Separated,Prof-specialty,Unmarried,White,Female,0,0,40,0
41,Self-emp-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,40,1
22,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,39,0
43,Private,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1887,50,1
18,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,0
51,Private,Some-college,Divorced,Exec-managerial,Unmarried,White,Male,0,0,45,0
40,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,0
59,State-gov,Doctorate,Divorced,Prof-specialty,Unmarried,White,Male,25236,0,45,1
38,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,0,1741,40,0
51,Local-gov,Doctorate,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,45,1
42,Private,School,Separated,Craft-repair,Unmarried,Black,Male,0,0,40,0
35,Local-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,0
44,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,0
46,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,1
22,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,0,0,35,0
39,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,0
41,Private,HS-grad,Divorced,Sales,Not-in-family,White,Male,0,0,50,0
53,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,50,1
30,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,35,0
32,Private,Assoc-voc,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,0
27,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,0
20,Private,School,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,35,0
36,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,0
38,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,0
40,Private,School,Married-spouse-absent,Machine-op-inspct,Unmarried,White,Female,0,0,40,0
21,Private,Some-college,Never-married,Other-service,Own-child,White,Male,0,0,40,0
42,State-gov,Some-college,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,0
23,Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,15,0
34,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,80,0
24,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,43,0
36,Private,Assoc-acdm,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,0
59,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,0
28,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,0,0,45,0
24,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,0
52,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,0
55,Local-gov,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,1
27,Local-gov,Some-college,Never-married,Protective-serv,Unmarried,Asian-Pac-Islander,Female,0,0,40,0
34,Local-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,1
38,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,50,1
60,Private,Bachelors,Married-spouse-absent,Prof-specialty,Unmarried,Black,Female,0,0,15,0
60,Private,School,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,0
65,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,56,1
58,Self-emp-not-inc,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,35,0
27,Private,Some-college,Never-married,Adm-clerical,Own-child,Black,Male,0,0,40,0
31,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,1887,40,1
20,Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,0
63,Private,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,12,0
58,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,45,1
